t:0.0061,S:4.364053042116312,Sloc:4.364053042116312,Sloc(species):0.0,Sum:4.364053042116312
t:0.0062,S:4.364210063498772,Sloc:4.364210063498772,Sloc(species):0.0,Sum:4.364210063498772
t:0.0063,S:4.364011217168451,Sloc:4.364011217168451,Sloc(species):0.0,Sum:4.364011217168451
t:0.0064,S:4.364011217168451,Sloc:4.364011217168451,Sloc(species):0.0,Sum:4.364011217168451
t:0.0065,S:4.364011217168451,Sloc:4.364011217168451,Sloc(species):0.0,Sum:4.364011217168451
t:0.0066,S:4.364011217168451,Sloc:4.364011217168451,Sloc(species):0.0,Sum:4.364011217168451
t:0.0067,S:4.363773333914944,Sloc:4.363773333914944,Sloc(species):0.0,Sum:4.363773333914944
t:0.0068,S:4.363773333914944,Sloc:4.363773333914944,Sloc(species):0.0,Sum:4.363773333914944
t:0.0069,S:4.3636605110501305,Sloc:4.3636605110501305,Sloc(species):0.0,Sum:4.3636605110501305
t:0.007,S:4.363681397599376,Sloc:4.363681397599376,Sloc(species):0.0,Sum:4.363681397599376
t:0.0071,S:4.363681397599376,Sloc:4.363681397599376,Sloc(species):0.0,Sum:4.363681397599376
t:0.0072,S:4.363535318064545,Sloc:4.363535318064545,Sloc(species):0.0,Sum:4.363535318064545
t:0.0073,S:4.363535318064545,Sloc:4.363535318064545,Sloc(species):0.0,Sum:4.363535318064545
t:0.0074,S:4.363535318064545,Sloc:4.363535318064545,Sloc(species):0.0,Sum:4.363535318064545
t:0.0075,S:4.363535318064545,Sloc:4.363535318064545,Sloc(species):0.0,Sum:4.363535318064545
t:0.0076,S:4.363732851286523,Sloc:4.363732851286523,Sloc(species):0.0,Sum:4.363732851286523
t:0.0077,S:4.363732851286523,Sloc:4.363732851286523,Sloc(species):0.0,Sum:4.363732851286523
t:0.0078,S:4.3639303845085,Sloc:4.3639303845085,Sloc(species):0.0,Sum:4.3639303845085
t:0.0079,S:4.3639303845085,Sloc:4.3639303845085,Sloc(species):0.0,Sum:4.3639303845085
t:0.008,S:4.3639303845085,Sloc:4.3639303845085,Sloc(species):0.0,Sum:4.3639303845085
t:0.0081,S:4.3639303845085,Sloc:4.3639303845085,Sloc(species):0.0,Sum:4.3639303845085
t:0.0082,S:4.3639303845085,Sloc:4.3639303845085,Sloc(species):0.0,Sum:4.3639303845085
t:0.0083,S:4.3639303845085,Sloc:4.3639303845085,Sloc(species):0.0,Sum:4.3639303845085
t:0.0084,S:4.3640987544662355,Sloc:4.3640987544662355,Sloc(species):0.0,Sum:4.3640987544662355
t:0.0085,S:4.364261249413188,Sloc:4.364261249413188,Sloc(species):0.0,Sum:4.364261249413188
t:0.0086,S:4.364261249413188,Sloc:4.364261249413188,Sloc(species):0.0,Sum:4.364261249413188
t:0.0087,S:4.364261249413188,Sloc:4.364261249413188,Sloc(species):0.0,Sum:4.364261249413188
t:0.0088,S:4.364478159121221,Sloc:4.364478159121221,Sloc(species):0.0,Sum:4.364478159121221
t:0.0089,S:4.364478159121221,Sloc:4.364478159121221,Sloc(species):0.0,Sum:4.364478159121221
t:0.009,S:4.364478159121221,Sloc:4.364478159121221,Sloc(species):0.0,Sum:4.364478159121221
t:0.0091,S:4.364478159121221,Sloc:4.364478159121221,Sloc(species):0.0,Sum:4.364478159121221
t:0.0092,S:4.364535463710129,Sloc:4.364535463710129,Sloc(species):0.0,Sum:4.364535463710129
t:0.0093,S:4.364535463710129,Sloc:4.364535463710129,Sloc(species):0.0,Sum:4.364535463710129
t:0.0094,S:4.364535463710129,Sloc:4.364535463710129,Sloc(species):0.0,Sum:4.364535463710129
t:0.0095,S:4.364535463710129,Sloc:4.364535463710129,Sloc(species):0.0,Sum:4.364535463710129
t:0.0096,S:4.364409352804317,Sloc:4.364409352804317,Sloc(species):0.0,Sum:4.364409352804317
t:0.0097,S:4.364366144527722,Sloc:4.364366144527722,Sloc(species):0.0,Sum:4.364366144527722
t:0.0098,S:4.36472820671131,Sloc:4.36472820671131,Sloc(species):0.0,Sum:4.36472820671131
t:0.0099,S:4.36472820671131,Sloc:4.36472820671131,Sloc(species):0.0,Sum:4.36472820671131
t:0.01,S:4.3645419280451065,Sloc:4.3645419280451065,Sloc(species):0.0,Sum:4.3645419280451065
t:0.0101,S:4.3645419280451065,Sloc:4.3645419280451065,Sloc(species):0.0,Sum:4.3645419280451065
t:0.0102,S:4.3645419280451065,Sloc:4.3645419280451065,Sloc(species):0.0,Sum:4.3645419280451065
t:0.0103,S:4.3645419280451065,Sloc:4.3645419280451065,Sloc(species):0.0,Sum:4.3645419280451065
t:0.0104,S:4.36440710306605,Sloc:4.36440710306605,Sloc(species):0.0,Sum:4.36440710306605
t:0.0105,S:4.364161622422825,Sloc:4.364161622422825,Sloc(species):0.0,Sum:4.364161622422825
t:0.0106,S:4.364161622422825,Sloc:4.364161622422825,Sloc(species):0.0,Sum:4.364161622422825
t:0.0107,S:4.364161622422825,Sloc:4.364161622422825,Sloc(species):0.0,Sum:4.364161622422825
t:0.0108,S:4.364161622422825,Sloc:4.364161622422825,Sloc(species):0.0,Sum:4.364161622422825
t:0.0109,S:4.364046214550209,Sloc:4.364046214550209,Sloc(species):0.0,Sum:4.364046214550209
t:0.011,S:4.364082047068771,Sloc:4.364082047068771,Sloc(species):0.0,Sum:4.364082047068771
t:0.0111,S:4.364335056530819,Sloc:4.364335056530819,Sloc(species):0.0,Sum:4.364335056530819
t:0.0112,S:4.364335056530819,Sloc:4.364335056530819,Sloc(species):0.0,Sum:4.364335056530819
t:0.0113,S:4.364335056530819,Sloc:4.364335056530819,Sloc(species):0.0,Sum:4.364335056530819
t:0.0114,S:4.364313468634215,Sloc:4.364313468634215,Sloc(species):0.0,Sum:4.364313468634215
t:0.0115,S:4.364313468634215,Sloc:4.364313468634215,Sloc(species):0.0,Sum:4.364313468634215
t:0.0116,S:4.364380199430061,Sloc:4.364380199430061,Sloc(species):0.0,Sum:4.364380199430061
